,ENCnum,ENCtime
533,4294966764.0,19660215.0
534,4294966763.0,19663985.0
535,4294966762.0,19667744.0
536,4294966761.0,19671495.0
537,4294966760.0,19675240.0
538,4294966759.0,19678975.0
539,4294966758.0,19682700.0
540,4294966757.0,19686422.0
541,4294966756.0,19690139.0
542,4294966755.0,19693856.0
543,4294966754.0,19697577.0
544,4294966753.0,19701299.0
545,4294966752.0,19705023.0
546,4294966751.0,19708747.0
547,4294966750.0,19712465.0
548,4294966749.0,19716188.0
549,4294966748.0,19719905.0
550,4294966747.0,19723618.0
551,4294966746.0,19727322.0
552,4294966745.0,19731018.0
553,4294966744.0,19734695.0
554,4294966743.0,19738350.0
555,4294966742.0,19742008.0
556,4294966741.0,19745676.0
557,4294966740.0,19749350.0
558,4294966739.0,19753034.0
559,4294966738.0,19756725.0
560,4294966737.0,19760416.0
561,4294966736.0,19764102.0
562,4294966735.0,19767777.0
563,4294966734.0,19771444.0
564,4294966733.0,19775099.0
565,4294966732.0,19778743.0
566,4294966731.0,19782382.0
567,4294966730.0,19786007.0
568,4294966729.0,19789623.0
569,4294966728.0,19793238.0
570,4294966727.0,19796842.0
571,4294966726.0,19800440.0
572,4294966725.0,19804030.0
573,4294966724.0,19807614.0
574,4294966723.0,19811203.0
575,4294966722.0,19814798.0
576,4294966721.0,19818402.0
577,4294966720.0,19822016.0
578,4294966719.0,19825638.0
579,4294966718.0,19829268.0
580,4294966717.0,19832905.0
581,4294966716.0,19836544.0
582,4294966715.0,19840181.0
583,4294966714.0,19843815.0
584,4294966713.0,19847457.0
585,4294966712.0,19851101.0
586,4294966711.0,19854743.0
587,4294966710.0,19858379.0
588,4294966709.0,19862007.0
589,4294966708.0,19865611.0
590,4294966707.0,19869202.0
591,4294966706.0,19872775.0
592,4294966705.0,19876340.0
593,4294966704.0,19879890.0
594,4294966703.0,19883428.0
595,4294966702.0,19886951.0
596,4294966701.0,19890456.0
597,4294966700.0,19893944.0
598,4294966699.0,19897416.0
599,4294966698.0,19900885.0
600,4294966697.0,19904348.0
601,4294966696.0,19907809.0
602,4294966695.0,19911268.0
603,4294966694.0,19914728.0
604,4294966693.0,19918185.0
605,4294966692.0,19921648.0
606,4294966691.0,19925117.0
607,4294966690.0,19928593.0
608,4294966689.0,19932076.0
609,4294966688.0,19935569.0
610,4294966687.0,19939066.0
611,4294966686.0,19942567.0
612,4294966685.0,19946072.0
613,4294966684.0,19949584.0
614,4294966683.0,19953091.0
615,4294966682.0,19956598.0
616,4294966681.0,19960105.0
617,4294966680.0,19963610.0
618,4294966679.0,19967103.0
619,4294966678.0,19970590.0
620,4294966677.0,19974070.0
621,4294966676.0,19977538.0
622,4294966675.0,19980998.0
623,4294966674.0,19984449.0
624,4294966673.0,19987890.0
625,4294966672.0,19991329.0
626,4294966671.0,19994756.0
627,4294966670.0,19998180.0
628,4294966669.0,20001593.0
629,4294966668.0,20005000.0
630,4294966667.0,20008400.0
631,4294966666.0,20011798.0
632,4294966665.0,20015201.0
633,4294966664.0,20018604.0
634,4294966663.0,20022012.0
635,4294966662.0,20025420.0
636,4294966661.0,20028827.0
637,4294966660.0,20032235.0
638,4294966659.0,20035643.0
639,4294966658.0,20039054.0
640,4294966657.0,20042455.0
641,4294966656.0,20045854.0
642,4294966655.0,20049251.0
643,4294966654.0,20052645.0
644,4294966653.0,20056030.0
645,4294966652.0,20059406.0
646,4294966651.0,20062776.0
647,4294966650.0,20066138.0
648,4294966649.0,20069491.0
649,4294966648.0,20072847.0
650,4294966647.0,20076194.0
651,4294966646.0,20079537.0
652,4294966645.0,20082874.0
653,4294966644.0,20086204.0
654,4294966643.0,20089528.0
655,4294966642.0,20092846.0
656,4294966641.0,20096161.0
657,4294966640.0,20099470.0
658,4294966639.0,20102780.0
659,4294966638.0,20106089.0
660,4294966637.0,20109393.0
661,4294966636.0,20112704.0
662,4294966635.0,20116016.0
663,4294966634.0,20119324.0
664,4294966633.0,20122633.0
665,4294966632.0,20125941.0
666,4294966631.0,20129248.0
667,4294966630.0,20132560.0
668,4294966629.0,20135868.0
669,4294966628.0,20139177.0
670,4294966627.0,20142488.0
671,4294966626.0,20145796.0
672,4294966625.0,20149099.0
673,4294966624.0,20152390.0
674,4294966623.0,20155677.0
675,4294966622.0,20158955.0
676,4294966621.0,20162231.0
677,4294966620.0,20165506.0
678,4294966619.0,20168779.0
679,4294966618.0,20172055.0
680,4294966617.0,20175331.0
681,4294966616.0,20178612.0
682,4294966615.0,20181894.0
683,4294966614.0,20185180.0
684,4294966613.0,20188465.0
685,4294966612.0,20191756.0
686,4294966611.0,20195053.0
687,4294966610.0,20198353.0
688,4294966609.0,20201656.0
689,4294966608.0,20204958.0
690,4294966607.0,20208261.0
691,4294966606.0,20211559.0
692,4294966605.0,20214856.0
693,4294966604.0,20218146.0
694,4294966603.0,20221428.0
695,4294966602.0,20224706.0
696,4294966601.0,20227974.0
697,4294966600.0,20231230.0
698,4294966599.0,20234470.0
699,4294966598.0,20237697.0
700,4294966597.0,20240914.0
701,4294966596.0,20244116.0
702,4294966595.0,20247308.0
703,4294966594.0,20250491.0
704,4294966593.0,20253668.0
705,4294966592.0,20256836.0
706,4294966591.0,20260005.0
707,4294966590.0,20263167.0
708,4294966589.0,20266321.0
709,4294966588.0,20269469.0
710,4294966587.0,20272612.0
711,4294966586.0,20275753.0
712,4294966585.0,20278896.0
713,4294966584.0,20282040.0
714,4294966583.0,20285195.0
715,4294966582.0,20288353.0
716,4294966581.0,20291516.0
717,4294966580.0,20294688.0
718,4294966579.0,20297862.0
719,4294966578.0,20301043.0
720,4294966577.0,20304224.0
721,4294966576.0,20307416.0
722,4294966575.0,20310611.0
723,4294966574.0,20313813.0
724,4294966573.0,20317017.0
725,4294966572.0,20320224.0
726,4294966571.0,20323433.0
727,4294966570.0,20326640.0
728,4294966569.0,20329844.0
729,4294966568.0,20333039.0
730,4294966567.0,20336228.0
731,4294966566.0,20339411.0
732,4294966565.0,20342588.0
733,4294966564.0,20345759.0
734,4294966563.0,20348925.0
735,4294966562.0,20352087.0
736,4294966561.0,20355248.0
737,4294966560.0,20358404.0
738,4294966559.0,20361556.0
739,4294966558.0,20364703.0
740,4294966557.0,20367846.0
741,4294966556.0,20370989.0
742,4294966555.0,20374139.0
743,4294966554.0,20377277.0
744,4294966553.0,20380412.0
745,4294966552.0,20383542.0
746,4294966551.0,20386670.0
747,4294966550.0,20389795.0
